full_address,lon,lat,transfer_tax,property_tax,property_tax_list
"150-158 Friend St, Boston, 2114",-71.060521,42.363903,149397,1141937.52,"[76500.0, 76500.0, 76500.0, 78604.0, 78737.6, 80476.16, 83321.16, 86640.88, 89190.4, 90920.72, 97778.96, 110001.28, 116766.36]"

"1 Monument Sq #2, Boston, 2129",-71.060356,42.375326,80328,1066588.18,"[24000.0, 24000.0, 24000.0, 24000.0, 24896.98, 26948.4, 29734.68, 32446.16, 34894.68, 38310.68, 37937.44, 39424.44, 42446.0, 44492.36, 45984.76, 47600.520000000004, 47703.119999999995, 49038.240000000005, 51223.04, 53772.4, 55730.32, 57059.08, 62325.840000000004, 71711.92, 76907.12]"

"1 Mount Vernon St, Boston, 2125",-71.060724,42.322908,106806,1548696.44,"[61000.0, 61000.0, 61000.0, 61000.0, 61000.0, 61000.0, 61000.0, 61000.0, 61000.0, 61000.0, 61000.0, 61000.0, 61000.0, 61000.0, 61000.0, 61000.0, 61000.0, 61000.0, 61000.0, 61000.0, 61000.0, 61000.0, 61000.0, 70280.0, 75416.44]"

"1-1A Mystic Ave, Boston, 2129",-71.076518,42.386134,11912,234771.3,"[9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9288.0, 10429.52, 12463.880000000001, 13589.9]"

"3 Sherman St, Boston, 2129",-71.0765,42.38661,461608,6247141.84,"[245000.0, 245000.0, 245000.0, 245000.0, 245000.0, 245000.0, 245000.0, 245000.0, 245000.0, 245000.0, 245000.0, 245000.0, 245000.0, 245000.0, 245000.0, 245000.0, 245000.0, 245000.0, 245000.0, 245000.0, 245000.0, 248600.0, 262869.16000000003, 288298.72000000003, 302373.96]"

"655-655A Mystic Ave, Boston, 2129",-71.076306,42.385958,136993,1978742.4,"[77000.0, 77000.0, 77000.0, 77000.0, 77000.0, 77000.0, 77000.0, 77000.0, 77000.0, 77000.0, 77000.0, 77000.0, 77000.0, 77000.0, 77000.0, 77000.0, 77000.0, 77000.0, 77000.0, 77000.0, 77000.0, 78584.0, 84862.44, 96051.44, 102244.52]"

"3 Mystic Ave, Boston, 2129",-71.076509,42.386127,11912,234771.3,"[9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9288.0, 10429.52, 12463.880000000001, 13589.9]"

"477-489 Cambridge St, Boston, 2134",-71.136804,42.353918,226324,3539175.479999999,"[138815.76, 138815.76, 138815.76, 138815.76, 138815.76, 138815.76, 138815.76, 138815.76, 138815.76, 138815.76, 138815.76, 138815.76, 138815.76, 138815.76, 138815.76, 138815.76, 138815.76, 138815.76, 138815.76, 138815.76, 138815.76, 138815.76, 147925.08000000002, 164159.08000000002, 173144.6]"

"1 Otis Pl, Boston, 2108",-71.071921,42.357217,376237,5313617.64,"[208800.0, 208800.0, 208800.0, 208800.0, 208800.0, 208800.0, 208800.0, 208800.0, 208800.0, 208800.0, 208800.0, 208800.0, 208800.0, 208800.0, 208800.0, 208800.0, 208800.0, 208800.0, 208800.0, 208800.0, 208800.0, 208800.0, 221198.6, 243294.48, 255524.56]"

"1 Parrott St, Boston, 2136",-71.125144,42.259132,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"

"8 Edson Ter, Boston, 2136",-71.138066,42.242456,0,5846.76,"[150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 211.8, 456.75, 893.29, 1134.92]"

"350 Arborway, Boston, 2130",-71.118058,42.303659,0,69520.90000000001,"[2500.0, 2500.0, 2500.0, 2500.0, 2500.0, 2500.0, 2500.0, 2500.0, 2500.0, 2500.0, 2500.0, 2500.0, 2500.0, 2500.0, 2500.0, 2500.0, 2500.0, 2597.4900000000002, 2757.04, 2943.21, 3086.19, 3183.2200000000003, 3567.84, 4253.26, 4632.650000000001]"

"9 Hawthorne Pl #4P, Boston, 2114",-71.066446,42.363479,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"

"1 Stoughton Street Pl, Boston, 2125",-71.063253,42.316226,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"

"22-26 Warren St, Boston, 2119",-71.083077,42.330088,13671,251679.19999999998,"[9864.0, 9864.0, 9864.0, 9864.0, 9864.0, 9864.0, 9864.0, 9864.0, 9864.0, 9864.0, 9864.0, 9864.0, 9864.0, 9864.0, 9864.0, 9864.0, 9864.0, 9864.0, 9864.0, 9864.0, 9864.0, 9864.0, 9864.0, 11853.119999999999, 12954.08]"

