first_year_payment,yearly_payments,down_payment,adjusted_price,lat,lon,price,usage,style
294112,56608,237504,950016,42.283898,-71.134673,845000,1-FAM RES,COLONIAL
75037,18095,56942,284707,42.265635,-71.158932,239000,CONDOMINIUM,LOW-RISE
0,0,0,1,42.346668,-71.090363,1,CONDOMINIUM,MID-RISE
0,0,0,1,42.346668,-71.090363,1,CONDOMINIUM,MID-RISE
0,0,0,1,42.346668,-71.090363,1,CONDOMINIUM,MID-RISE
0,0,0,1,42.346668,-71.090363,1,CONDOMINIUM,MID-RISE
0,0,0,1,42.346668,-71.090363,1,CONDOMINIUM,MID-RISE
0,0,0,1,42.346668,-71.090363,1,CONDOMINIUM,MID-RISE
0,0,0,1,42.346668,-71.090363,1,CONDOMINIUM,MID-RISE
0,0,0,1,42.346668,-71.090363,1,CONDOMINIUM,MID-RISE
0,0,0,1,42.346668,-71.090363,1,CONDOMINIUM,MID-RISE
0,0,0,1,42.346668,-71.090363,1,CONDOMINIUM,MID-RISE
207750,50100,157650,788247,42.384772,-71.001191,650000,2-FAM RES,TWO FAMILY
604483,145776,458707,2293531,42.305029,-71.061227,2040000,4-8 UNIT APT,CONDO/APT
84818,20454,64364,321817,42.31107,-71.105419,246375,CONDOMINIUM,DECKER
97864,23600,74264,371318,42.31107,-71.105419,284272,CONDOMINIUM,DECKER
97892,23607,74285,371425,42.31107,-71.105419,284354,CONDOMINIUM,DECKER
2208874,107515,2101359,3454615,42.359064,-71.070873,2900000,3-FAM RES,ROW-MIDDLE
541516,104227,437289,1749158,42.330744,-71.104406,1232400,<BLANK>,DECKER
180251,34657,145594,581814,42.318578,-71.060517,517500,CONDOMINIUM,DECKER
513346,123798,389548,1947741,42.330744,-71.104406,1515000,3-FAM RES,DECKER
575457,138776,436681,2183401,42.359249,-71.068572,1700000,9 + UNIT APT,CONDO/APT
132003,31833,100170,500847,42.334466,-71.03127,370000,CONDOMINIUM,FREE-STANDNG
1262321,168535,1093786,3215068,42.342439,-71.076956,2425000,9 + UNIT APT,CONDO/APT
